year,tide_ht,quadrat_m,seaweed_species,date,Asco_n_ht,Asco_n_bladders,squares_out_of_25,proportion,quadrat_number,Asco_nHt,Asco_nBladders
2017,H,0,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,0,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,3,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,7,0.28,NA,NA,NA
2017,H,3,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,6,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,7,0.28,NA,NA,NA
2017,H,6,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,9,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,8,0.32,NA,NA,NA
2017,H,9,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,12,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,2,0.08,NA,NA,NA
2017,H,12,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,15,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,1,0.04,NA,NA,NA
2017,H,15,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,18,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,6,0.24,NA,NA,NA
2017,H,18,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,2,0.08,NA,NA,NA
2017,H,21,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,21,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Asco_nSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Cera_rSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Chon_cSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Cora_oSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Fucu_dCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Fucu_dSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Fucu_sCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Fucu_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Fucu_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Fucu_vCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Fucu_vSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Lami_spp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Mast_sSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Porp_sp,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Ulva_iSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Ulva_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,24,Vert_lSC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
2017,H,27,Asco_nCC,2017-08-12T00:00:00Z,NA,NA,0,0,NA,NA,NA
