year,transect,species,start,end,distance
2019,1,BR,0,1.9,1.9
2019,1,Fspp,1.9,2.1,0.20000000000000018
2019,1,Fspp,2.1,2.4,0.2999999999999998
2019,1,AN,2.4,3.7,1.3000000000000003
2019,1,Fspp,3.7,4,0.2999999999999998
2019,1,Fspp,4,4.1,0.09999999999999964
2019,1,BR,4.1,5,0.9000000000000004
2019,1,UI,5,5.1,0.09999999999999964
2019,1,Fspp,5.1,5.2,0.10000000000000053
2019,1,Fspp,5.2,5.4,0.20000000000000018
2019,1,BR,5.4,6.1,0.6999999999999993
2019,1,Fspp,6.1,6.3,0.20000000000000018
2019,1,Fspp,6.3,6.3,0
2019,1,AN,6.3,6.8,0.5
2019,1,WA,6.8,7.3,0.5
2019,1,AN,7.3,7.9,0.6000000000000005
2019,1,FU,7.9,8.1,0.1999999999999993
2019,1,Fspp,8.1,8.6,0.5
2019,1,Fspp,8.6,9.5,0.9000000000000004
2019,1,Fspp,9.5,10.4,0.9000000000000004
2019,1,Fspp,10.4,10.8,0.40000000000000036
2019,1,AN,10.8,12.2,1.3999999999999986
2019,1,Fspp,12.2,13.1,0.9000000000000004
2019,1,Fspp,13.1,13.2,0.09999999999999964
2019,1,BR,13.2,13.5,0.3000000000000007
2019,1,Fspp,13.5,14.2,0.6999999999999993
2019,1,MS,14.2,14.3,0.10000000000000142
2019,1,AN,14.3,14.6,0.29999999999999893
2019,1,CC,14.6,14.9,0.3000000000000007
2019,1,Fspp,14.9,15.1,0.1999999999999993
2019,1,Fspp,15.1,15.3,0.20000000000000107
2019,1,Fspp,15.3,16.3,1
2019,1,Fspp,16.3,16.35,0.05000000000000071
2019,1,WA,16.35,16.5,0.14999999999999858
2019,1,Fspp,16.5,17.3,0.8000000000000007
2019,1,MS,17.3,17.4,0.09999999999999787
2019,1,Fspp,17.4,17.7,0.3000000000000007
2019,1,AN,17.7,18.1,0.40000000000000213
2019,1,MS,18.1,18.5,0.3999999999999986
2019,1,Fspp,18.5,18.8,0.3000000000000007
2019,1,WA,18.8,18.9,0.09999999999999787
2019,1,Fspp,18.9,19.7,0.8000000000000007
2019,1,AN,19.7,20.1,0.40000000000000213
2019,1,Fspp,20.1,20.3,0.1999999999999993
2019,1,WA,20.3,20.5,0.1999999999999993
2019,1,CC,20.5,20.7,0.1999999999999993
2019,1,MS,20.7,21.1,0.40000000000000213
2019,1,WA,21.1,22.4,1.2999999999999972
2019,1,AN,22.4,23.1,0.7000000000000028
2019,1,MS,23.1,23.2,0.09999999999999787
2019,1,AN,23.2,23.5,0.3000000000000007
2019,1,CC,23.5,23.9,0.3999999999999986
2019,1,WA,23.9,24,0.10000000000000142
2019,1,CC,24,24.3,0.3000000000000007
2019,1,CC,24.3,25.2,0.8999999999999986
2019,2,BR,0,0.8,0.8
2019,2,CC,0.8,0.9,0.09999999999999998
2019,2,UI,0.9,0.95,0.04999999999999993
2019,2,BR,0.95,1.15,0.19999999999999996
2019,2,UL,1.15,1.57,0.42000000000000015
2019,2,BR,1.57,1.95,0.3799999999999999
2019,2,UL,1.95,1.97,0.020000000000000018
2019,2,BR,1.97,2.1,0.13000000000000012
2019,2,UL,2.1,2.15,0.04999999999999982
2019,2,BR,2.15,2.44,0.29000000000000004
2019,2,UL,2.44,2.7,0.26000000000000023
2019,2,BR,2.7,3,0.2999999999999998
2019,2,BR,3,3.15,0.1499999999999999
2019,2,Fspp,3.15,3.3,0.1499999999999999
2019,2,BR,3.3,3.33,0.03000000000000025
2019,2,SB,3.33,3.43,0.10000000000000009
2019,2,BR,3.43,3.47,0.040000000000000036
2019,2,SB,3.47,3.5,0.029999999999999805
2019,2,BR,3.5,3.7,0.20000000000000018
2019,2,UL,3.7,4.25,0.5499999999999998
2019,2,BR,4.25,4.5,0.25
2019,2,Fspp,4.5,5.48,0.9800000000000004
2019,2,BR,5.48,5.57,0.08999999999999986
2019,2,AN,5.57,6.64,1.0699999999999994
2019,2,Fspp,6.64,7.31,0.6699999999999999
2019,2,AN,7.31,7.5,0.1900000000000004
2019,2,VL,7.5,7.59,0.08999999999999986
2019,2,Fspp,7.59,7.82,0.23000000000000043
2019,2,VL,7.82,7.87,0.04999999999999982
2019,2,Fspp,7.87,8.18,0.3099999999999996
2019,2,VL,8.18,8.2,0.019999999999999574
2019,2,Fspp,8.2,8.55,0.3500000000000014
2019,2,AN,8.55,8.83,0.27999999999999936
2019,2,VL,8.83,8.85,0.019999999999999574
2019,2,AN,8.85,8.9,0.05000000000000071
2019,2,VL,8.9,8.94,0.03999999999999915
2019,2,Fspp,8.94,9.82,0.8800000000000008
2019,2,VL,9.82,9.87,0.049999999999998934
2019,2,AN,9.87,10.05,0.1800000000000015
2019,2,VL,10.05,10.1,0.049999999999998934
2019,2,AN,10.1,10.22,0.120000000000001
2019,2,Fspp,10.22,10.63,0.41000000000000014
2019,2,VL,10.63,10.72,0.08999999999999986
2019,2,AN,10.72,10.85,0.129999999999999
2019,2,VL,10.85,10.92,0.07000000000000028
2019,2,AN,10.92,11.49,0.5700000000000003
2019,2,Fspp,11.49,11.71,0.22000000000000064
2019,2,Fspp,11.71,11.89,0.17999999999999972
2019,2,MS,11.89,11.95,0.05999999999999872
2019,2,Fspp,11.95,12.02,0.07000000000000028
2019,2,SB,12.02,12.03,0.009999999999999787
2019,2,BR,12.03,12.08,0.05000000000000071
2019,2,SB,12.08,12.11,0.02999999999999936
2019,2,BR,12.11,12.17,0.0600000000000005
2019,2,UL,12.17,12.18,0.009999999999999787
2019,2,BSB,12.18,12.27,0.08999999999999986
2019,2,Fspp,12.27,12.39,0.120000000000001
2019,2,AN,12.39,12.43,0.03999999999999915
2019,2,VL,12.43,12.46,0.030000000000001137
2019,2,AN,12.46,12.57,0.10999999999999943
2019,2,VL,12.57,12.66,0.08999999999999986
2019,2,AN,12.66,13.12,0.4599999999999991
2019,2,VL,13.12,13.15,0.030000000000001137
2019,2,AN,13.15,13.28,0.129999999999999
2019,2,VL,13.28,13.32,0.040000000000000924
2019,2,AN,13.32,14.1,0.7799999999999994
2019,2,VL,14.1,14.13,0.030000000000001137
2019,2,AN,14.13,14.29,0.15999999999999837
2019,2,VL,14.29,14.36,0.07000000000000028
2019,2,AN,14.36,14.55,0.19000000000000128
2019,2,VL,14.55,14.56,0.009999999999999787
2019,2,AN,14.56,14.74,0.17999999999999972
2019,2,VL,14.74,14.94,0.1999999999999993
2019,2,AN,14.94,15.096,0.15600000000000058
2019,2,VL,15.096,15.14,0.04400000000000048
2019,2,MS,15.14,15.17,0.02999999999999936
2019,2,AN,15.17,15.21,0.040000000000000924
2019,2,MS,15.21,15.29,0.0799999999999983
2019,2,UL,15.29,15.31,0.02000000000000135
2019,2,VL,15.31,15.37,0.05999999999999872
2019,2,AN,15.37,15.65,0.28000000000000114
2019,2,VL,15.65,15.79,0.1399999999999988
2019,2,AN,15.79,15.96,0.1700000000000017
2019,2,VL,15.96,16.37,0.41000000000000014
2019,2,MS,16.37,16.6,0.23000000000000043
2019,2,VL,16.6,16.8,0.1999999999999993
2019,2,AN,16.8,17.15,0.34999999999999787
2019,2,VL,17.15,17.33,0.17999999999999972
2019,2,MS,17.33,17.57,0.240000000000002
2019,2,UL,17.57,17.6,0.030000000000001137
2019,2,MS,17.6,17.65,0.04999999999999716
2019,2,AN,17.65,17.78,0.13000000000000256
2019,2,MS,17.78,17.81,0.029999999999997584
2019,2,AN,17.81,18.02,0.21000000000000085
2019,2,CC,18.02,18.24,0.21999999999999886
2019,2,CO,18.24,18.28,0.0400000000000027
2019,2,WA,18.28,18.74,0.4599999999999973
2019,2,VL,18.74,18.87,0.13000000000000256
2019,2,UL,18.87,18.93,0.05999999999999872
2019,2,MS,18.93,19.16,0.23000000000000043
2019,2,AN,19.16,19.48,0.3200000000000003
2019,2,MS,19.48,19.93,0.4499999999999993
2019,2,VL,19.93,20,0.07000000000000028
2019,2,AN,20,20.17,0.1700000000000017
2019,2,F,20.17,20.43,0.259999999999998
2019,2,MS,20.43,21.02,0.5899999999999999
2019,2,AN,21.02,21.07,0.05000000000000071
2019,2,MS,21.07,21.26,0.19000000000000128
2019,2,CO,21.26,21.3,0.03999999999999915
2019,2,MS,21.3,21.8,0.5
2019,2,OA-KELP,21.8,22.44,0.6400000000000006
2019,2,F,22.44,22.6,0.16000000000000014
2019,2,MS,22.6,22.65,0.04999999999999716
2019,2,F,22.65,23,0.3500000000000014
2019,2,MS,23,23.13,0.129999999999999
2019,2,VL,23.13,23.18,0.05000000000000071
2019,2,UL,23.18,23.23,0.05000000000000071
2019,2,MS,23.23,23.46,0.23000000000000043
2019,3,BR,0,0.79,0.79
2019,3,UL,0.79,1.05,0.26
2019,3,BR,1.05,1.73,0.6799999999999999
2019,3,SB,1.73,1.93,0.19999999999999996
2019,3,UL,1.93,2.24,0.3100000000000003
2019,3,BR,2.24,3.35,1.1099999999999999
2019,3,Fspp,3.35,4.14,0.7899999999999996
2019,3,Fspp,4.14,4.14,0
2019,3,CC,4.14,4.38,0.2400000000000002
2019,3,AN,4.38,4.53,0.15000000000000036
2019,3,Fspp,4.53,4.65,0.1200000000000001
2019,3,Fspp,4.65,5.47,0.8199999999999994
2019,3,Fspp,5.47,5.8,0.33000000000000007
2019,3,Fspp,5.8,6.06,0.2599999999999998
2019,3,BR,6.06,6.18,0.1200000000000001
2019,3,Fspp,6.18,6.38,0.20000000000000018
2019,3,AN,6.38,7.85,1.4699999999999998
2019,3,CC,7.85,7.93,0.08000000000000007
2019,3,AN,7.93,8.67,0.7400000000000002
2019,3,CC,8.67,9.63,0.9600000000000009
2019,3,VL,9.63,9.05,-0.5800000000000001
2019,3,AN,9.05,9.63,0.5800000000000001
2019,3,UL,9.63,9.79,0.15999999999999837
2019,3,WA,9.79,9.92,0.13000000000000078
2019,3,UL,9.92,10.1,0.17999999999999972
2019,3,UL,10.1,10.28,0.17999999999999972
2019,3,Fspp,10.28,10.64,0.3600000000000012
2019,3,AN,10.64,11.9,1.2599999999999998
2019,3,VL,11.9,12.1,0.1999999999999993
2019,3,Fspp,12.1,13.38,1.2800000000000011
2019,3,AN,13.38,13.68,0.29999999999999893
2019,3,VL,13.68,13.78,0.09999999999999964
2019,3,WA,13.78,13.84,0.0600000000000005
2019,3,VL,13.84,14.38,0.5400000000000009
2019,3,CC,14.38,14.55,0.16999999999999993
2019,3,UL,14.55,14.72,0.16999999999999993
2019,3,MS,14.72,14.87,0.14999999999999858
2019,3,CC,14.87,14.97,0.10000000000000142
2019,3,UL,14.97,15.02,0.049999999999998934
2019,3,VL,15.02,15.18,0.16000000000000014
2019,3,Fspp,15.18,15.23,0.05000000000000071
2019,3,AN,15.23,15.53,0.29999999999999893
2019,3,OA-KELP,15.53,15.54,0.009999999999999787
2019,3,CC,15.54,15.68,0.14000000000000057
2019,3,UL,15.68,15.79,0.10999999999999943
2019,3,MS,15.79,16.06,0.2699999999999996
2019,3,OA-KELP,16.06,18,1.9400000000000013
2020,1,MS,0,0.34,0.34
2020,1,Fspp,0.34,0.4,0.06
2020,1,VL,0.4,0.44,0.03999999999999998
2020,1,CC,0.44,0.52,0.08000000000000002
2020,1,CO,0.52,0.54,0.020000000000000018
2020,1,VL,0.54,0.56,0.020000000000000018
2020,1,CC,0.56,0.6,0.039999999999999925
2020,1,Fspp,0.6,0.87,0.27
2020,1,MS,0.87,1.04,0.17000000000000004
2020,1,UL,1.04,1.08,0.040000000000000036
2020,1,MS,1.08,1.15,0.06999999999999984
2020,1,UL,1.15,1.23,0.08000000000000007
2020,1,MS,1.23,1.26,0.030000000000000027
2020,1,UL,1.26,1.28,0.020000000000000018
2020,1,MS,1.28,1.59,0.31000000000000005
2020,1,UL,1.59,1.65,0.05999999999999983
2020,1,MS,1.65,2.1,0.4500000000000002
2020,1,UL,2.1,2.13,0.029999999999999805
2020,1,UL,2.13,2.16,0.03000000000000025
2020,1,MS,2.16,2.27,0.10999999999999988
2020,1,UL,2.27,2.29,0.020000000000000018
2020,1,MS,2.29,2.4,0.10999999999999988
2020,1,CO,2.4,2.42,0.020000000000000018
2020,1,WA,2.42,2.7,0.28000000000000025
2020,1,AN,2.7,2.8,0.09999999999999964
2020,1,VL,2.8,2.87,0.07000000000000028
2020,1,AN,2.87,2.96,0.08999999999999986
2020,1,VL,2.96,3.07,0.10999999999999988
2020,1,AN,3.07,3.18,0.11000000000000032
2020,1,VL,3.18,3.2,0.020000000000000018
2020,1,VL,3.2,3.29,0.08999999999999986
2020,1,AN,3.29,3.4,0.10999999999999988
2020,1,MS,3.4,3.49,0.0900000000000003
2020,1,AN,3.49,3.58,0.08999999999999986
2020,1,VL,3.58,3.6,0.020000000000000018
2020,1,AN,3.6,3.63,0.029999999999999805
2020,1,VL,3.63,3.69,0.06000000000000005
2020,1,AN,3.69,3.76,0.06999999999999984
2020,1,VL,3.76,3.8,0.040000000000000036
2020,1,AN,3.8,3.82,0.020000000000000018
2020,1,VL,3.82,3.86,0.040000000000000036
2020,1,AN,3.86,3.91,0.050000000000000266
2020,1,VL,3.91,3.96,0.04999999999999982
2020,1,AN,3.96,3.99,0.03000000000000025
2020,1,VL,3.99,4.07,0.08000000000000007
2020,1,Fspp,4.07,4.22,0.14999999999999947
2020,1,AN,4.22,4.33,0.11000000000000032
2020,1,VL,4.33,4.36,0.03000000000000025
2020,1,AN,4.36,4.39,0.02999999999999936
2020,1,VL,4.39,4.44,0.05000000000000071
2020,1,AN,4.44,4.47,0.02999999999999936
2020,1,VL,4.47,4.5,0.03000000000000025
2020,1,AN,4.5,4.55,0.04999999999999982
2020,1,VL,4.55,4.63,0.08000000000000007
2020,1,AN,4.63,4.78,0.15000000000000036
2020,1,VL,4.78,4.81,0.02999999999999936
2020,1,AN,4.81,5.27,0.45999999999999996
2020,1,VL,5.27,5.32,0.05000000000000071
2020,1,Fspp,5.32,5.71,0.3899999999999997
2020,1,MS,5.71,6.4,0.6900000000000004
2020,1,AN,6.4,6.64,0.23999999999999932
2020,1,VL,6.64,6.78,0.14000000000000057
2020,1,Fspp,6.78,6.87,0.08999999999999986
2020,1,VL,6.87,6.97,0.09999999999999964
2020,1,AN,6.97,6.99,0.020000000000000462
2020,1,VL,6.99,7.32,0.33000000000000007
2020,1,AN,7.32,7.37,0.04999999999999982
2020,1,VL,7.37,7.5,0.1299999999999999
2020,1,AN,7.5,7.53,0.03000000000000025
2020,1,VL,7.53,7.64,0.10999999999999943
2020,1,AN,7.64,7.66,0.020000000000000462
2020,1,VL,7.66,7.71,0.04999999999999982
2020,1,AN,7.71,7.77,0.05999999999999961
2020,1,VL,7.77,8.08,0.3100000000000005
2020,1,AN,8.08,8.25,0.16999999999999993
2020,1,VL,8.25,8.39,0.14000000000000057
2020,1,AN,8.39,9.17,0.7799999999999994
2020,1,F,9.17,9.39,0.22000000000000064
2020,1,MS,9.39,9.45,0.05999999999999872
2020,1,AN,9.45,9.49,0.040000000000000924
2020,1,Fspp,9.49,9.52,0.02999999999999936
2020,1,AN,9.52,12.82,3.3000000000000007
2020,1,VL,12.82,14.23,1.4100000000000001
2020,1,AN,14.23,14.26,0.02999999999999936
2020,1,Fspp,14.26,14.29,0.02999999999999936
2020,1,BR,14.29,14.82,0.5300000000000011
2020,1,SB,14.82,14.34,-0.4800000000000004
2020,1,ME,14.34,14.36,0.019999999999999574
2020,1,BR,14.36,14.38,0.02000000000000135
2020,1,SB,14.38,14.39,0.009999999999999787
